Strike,Date,Tribal Agency,Country,Location,Full Address,Latitude,Longitude,Time Period,Minimum All Targets,Maximum All Targets,Minimum Domestic Buildings,Maximum Domestic Buildings,Minimum Religious Buildings,Maximum Religious Buildings,Minimum Other Buildings,Maximum Other Buildings,Minimum vehicles,Maximum vehicles,Strucutral Damage,Minimum Number of Missiles Reported Fired,Maximum Number of Missiles Reported Fired,Minimum Total Reported Killed,Maximum Total Reported Killed,Minimum Civilians Reported Killed,Maximum Civilians Reported Killed,Minimum Children Reported Killed,Maximum Children Reported Killed,Minimum Injured,Maximum Injured
Ob89,3/5/2010,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Afternoon,0,1,0,1,0,0,0,0,0,0,-,3,3,4,6,0,2,0,0,0,0
Ob148,15/10/2010,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,2,3,5,0,0,0,0,0,0
Ob176,27/12/2010,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,,1,1,0,0,0,0,0,0,1,1,-,2,4,4,4,0,0,0,0,0,0
Ob212,23/05/2011,NWA,Pakistan,Machi Khel,Pakistan Machi Khel,33.0291339,70.2467852,Afternoon,1,1,0,0,0,0,0,0,1,1,-,2,4,4,7,0,0,0,0,2,2
B33,11/10/2008,NWA,Greece,Machis,Greece Machis,37.0382202,22.119276,,1,1,1,1,0,0,0,0,0,0,4,2,2,4,5,0,0,0,0,2,2
Ob81,23/03/2010,NWA,Greece,Machis,Greece Machis,37.0382202,22.119276,Night,2,2,1,1,0,0,0,0,1,1,4,2,2,6,6,0,0,0,0,3,3
Ob114,3/9/2010,NWA,Greece,Machis,Greece Machis,37.0382202,22.119276,Evening,1,1,1,1,0,0,0,0,0,0,4,2,2,6,9,0,0,0,0,2,3
Ob121,9/9/2010,NWA,Greece,Machis,Greece Machis,37.0382202,22.119276,Night,1,1,1,1,0,0,0,0,0,0,-,2,3,3,6,0,0,0,0,3,5
B51,2/1/2009,SWA,Pakistan,Madin Village,Pakistan Madin Village,33.6288093,73.15635,,1,2,0,0,0,0,1,1,0,1,4,2,2,3,4,0,0,0,0,3,5
Ob116,4/9/2010,NWA,Pakistan,Maizer,Pakistan Maizer,32.906109,69.748807,Evening,1,3,1,1,0,0,0,0,0,2,-,Unreported,Unreported,7,8,0,0,0,0,12,12
Ob158,7/11/2010,NWA,Pakistan,Maizer,Pakistan Maizer,32.906109,69.748807,Evening,1,1,0,0,0,0,0,0,1,1,-,2,2,3,6,0,0,0,0,1,4
Ob283,6/7/2012,NWA,Pakistan,Maizer,Pakistan Maizer,32.906109,69.748807,Evening or night,1,5,1,1,0,0,0,0,0,4,4,2,8,13,24,3,18,0,0,2,22
B16,14/06/2008,SWA,Pakistan,Makeen,Pakistan Makeen,32.6233687,69.8388936,,1,1,1,1,0,0,0,0,0,0,-,3,3,1,1,0,1,0,0,0,0
Ob8,25/03/2009,SWA,Pakistan,Makeen,Pakistan Makeen,32.6233687,69.8388936,Afternoon,0,3,0,1,0,0,0,0,0,2,2,2,2,6,8,0,0,0,0,5,5
Ob20,23/06/2009,SWA,Pakistan,Makeen,Pakistan Makeen,32.6233687,69.8388936,Morning,1,3,1,1,0,0,0,0,0,2,4,1,3,5,6,0,0,0,0,7,7
Ob21,23/06/2009,SWA,Pakistan,Makeen,Pakistan Makeen,32.6233687,69.8388936,,1,1,0,0,0,0,1,1,0,0,-,2,3,60,83,18,50,10,10,27,27
Ob24,7/7/2009,SWA,Pakistan,Makeen,Pakistan Makeen,32.6233687,69.8388936,Morning or afternoon,1,1,1,1,0,0,0,0,0,0,4,2,2,14,18,0,0,0,0,10,10
B9,19/06/2007,NWA,Pakistan,Mami Rogha,Pakistan Mami Rogha,32.8052893,69.9111112,Morning,1,4,1,3,0,1,0,0,0,0,4,Unreported,Unreported,20,34,0,34,0,0,10,15
